File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0155-2022,,Resolution,Filed (End of Session),"Committee on Mental Health, Disabilities and Addiction",Robert F. Holden,2,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, legislation that adds a gravely disabled standard to the civil commitment law."
Int 0315-2022,,Introduction,Filed (End of Session),"Committee on Environmental Protection, Resiliency and Waterfronts",Justin L. Brannan,21,"A Local Law to amend the administrative code of the city of New York, in relation to identifying all vacant and underutilized municipally-owned sites that would be suitable for the development of renewable energy and assessing the renewable-energy generation potential and feasibility of such sites"
Int 0333-2022,,Introduction,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Robert F. Holden,4,"A Local Law to amend the administrative code of the city of New York, in relation to allowing the department of sanitation to purchase appropriate vehicles to utilize during a snowfall"
Int 0328-2022,,Introduction,Filed (End of Session),Committee on Contracts,Selvena N. Brooks-Powers,16,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a minority and women-owned business enterprise consultant for city projects with budgets in excess of ten million dollars"
Int 0329-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Selvena N. Brooks-Powers,18,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a reward for individuals who provide information leading to the apprehension, prosecution or conviction of a person who seriously injures or kills another individual in a hit-and-run accident"
Int 0307-2022,,Introduction,Filed (End of Session),Committee on Health,Joseph C. Borelli,1,"A Local Law to amend the administrative code of the city of New York, in relation to exempting hand-rolled cigars from the price floors established in 2017"
Int 0309-2022,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Joseph C. Borelli,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of consumer and worker protection to send documents related to licensing by certified mail"
Int 0311-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Joseph C. Borelli,6,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting certain unsolicited disclosures of intimate images"
Int 0325-2022,2023/090,Introduction,Enacted,Committee on Health,Justin L. Brannan,16,"A Local Law to amend the administrative code of the city of New York, in relation to the provision of information about emergency rooms and pediatric trauma centers"
Int 0331-2022,,Introduction,Filed (End of Session),Committee on Governmental Operations,Shahana K. Hanif,7,"A Local Law to amend the administrative code of the city of New York, in relation to the establishment of an office of restaurant recovery in response to the COVID-19 pandemic, and the expiration and repeal thereof"
Int 0308-2022,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Joseph C. Borelli,2,"A Local Law to amend the administrative code of the city of New York and the New York city building code, in relation to fire lanes in open parking lots that can store over 100 vehicles"
Int 0310-2022,,Introduction,Filed (End of Session),Committee on Health,Joseph C. Borelli,3,"A Local Law to amend the administrative code of the city of New York, in relation to a standard procedure for treating students presenting with suspected tick bites"
Int 0292-2022,,Introduction,Filed (End of Session),Committee on Health,"Rafael Salamanca, Jr.",5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring automated external defibrillators in private schools and police cars"
Int 0285-2022,,Introduction,Filed (End of Session),Committee on Economic Development,Kevin C. Riley,24,"A Local Law to amend the New York city charter, in relation to the establishment of an office of cannabis business services"
Res 0136-2022,,Resolution,Filed (End of Session),Committee on Education,"Rafael Salamanca, Jr.",10,Resolution calling upon the New York City Department of Education to offer lactose-free milk as a milk alternative to students upon request by a parent or guardian.
Int 0302-2022,,Introduction,Filed (End of Session),Committee on Public Safety,Kalman Yeger,5,"A Local Law to amend the administrative code of the city of New York, in relation to panic buttons for houses of worship"
Int 0289-2022,2023/124,Introduction,Enacted,Committee on Transportation and Infrastructure,Carlina Rivera,25,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of transportation to develop a map of bicycle infrastructure conditions"
Int 0301-2022,,Introduction,Filed (End of Session),Committee on Oversight and Investigations,Julie Won,9,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the establishment of standards and procedures to determine the existence of conflicts of interest and other misconduct concerning city contracts"
Int 0300-2022,,Introduction,Filed (End of Session),Committee on Contracts,Julie Won,7,"A Local Law in relation to establishing a special inspector within the department of investigation to review contracts that were entered into in response to the 2019 novel coronavirus, and providing for the repeal of such provision upon the expiration thereof"
